uniqueId,mac,alias,tags,packets,profiles,proximity,major,minor,namespace,instanceId,url,txPower,shuffled,interval,name,rssi0m,rssi1m,powerSaving.features,powerSaving.moveSuspendTimeout,powerSaving.lightSensorHysteresis,powerSaving.lightSensorThreshold,powerSaving.rtc.MON,powerSaving.rtc.TUE,powerSaving.rtc.WED,powerSaving.rtc.THU,powerSaving.rtc.FRI,powerSaving.rtc.SAT,powerSaving.rtc.SUN,eidRotationPeriodExponent,accelerometer.features,accelerometer.sensitivity,accelerometer.preset,accelerometer.move.threshold,accelerometer.move.duration,accelerometer.doubleTap.threshold,accelerometer.doubleTap.timeLimit,accelerometer.doubleTap.timeLatency,accelerometer.doubleTap.timeWindow,accelerometer.move.detectionFlags,accelerometer.move.detectionFlagsJunction,accelerometer.doubleTap.detectionFlags,accelerometer.highPass.mode,accelerometer.highPass.cutoffFrequency,accelerometer.highPass.moveDetection,accelerometer.highPass.doubleTapDetection,accelerometer.highPass.accelerometerData,accelerometer.highPass.reference,batteryLevel,lastSeen
LuvWwv,DF:FE:F1:1C:12:31,,,"IBEACON,KONTAKT",IBEACON,f7826da6-4fa2-4e98-8024-bc5b71e0893e,34597,13421,f7826da64fa24e988024,615850734941,http://kntk.io/eddystone,3,false,350.0,1236,"-74,-43,-40,-36,-31,-28,-24,-18","-115,-84,-81,-77,-72,-69,-65,-59",,,,50,"0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23",15,"ACCELEROMETER,MOVE_DETECTION,X_AXIS,Y_AXIS,Z_AXIS",16,MOVEMENT,240,160,0,0,0,0,"X_POSITIVE,Y_POSITIVE,Z_POSITIVE",OR,,NORMAL,0.05,true,false,false,0,100,2022-05-12 05:35:00.0
LuuTOl,DC:54:F6:F3:DC:BB,,,"IBEACON,KONTAKT,KONTAKT_LOCATION,KONTAKT_TLM",IBEACON,f7826da6-4fa2-4e98-8024-bc5b71e0893e,61629,39405,f7826da6bc5b71e0893e,545a64615772,http://kntk.io/eddystone,3,false,350.0,0247,"-74,-43,-40,-36,-31,-28,-24,-18","-115,-84,-81,-77,-72,-69,-65,-59",,,,50,"0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23",15,"ACCELEROMETER,MOVE_DETECTION,X_AXIS,Y_AXIS,Z_AXIS",16,MOVEMENT,240,160,0,0,0,0,"X_POSITIVE,Y_POSITIVE,Z_POSITIVE",OR,,NORMAL,0.05,true,false,false,0,100,2020-12-22 08:45:00.0
LuxImc,C7:E2:2E:E4:50:47,,gi,"IBEACON,KONTAKT",IBEACON,f7826da6-4fa2-4e98-8024-bc5b71e0893e,47620,26542,f7826da6bc5b71e0893e,354e41514867,http://kntk.io/eddystone,4,false,350.0,1235,"-74,-43,-40,-36,-31,-28,-24,-18","-115,-84,-81,-77,-72,-69,-65,-59",,,,50,"0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23",15,"ACCELEROMETER,MOVE_DETECTION,X_AXIS,Y_AXIS,Z_AXIS",16,MOVEMENT,240,160,0,0,0,0,"X_POSITIVE,Y_POSITIVE,Z_POSITIVE",OR,,NORMAL,0.05,true,false,false,0,100,2022-05-12 05:35:00.0
LuPBxg,C1:D4:8C:DE:C3:75,,,"IBEACON,KONTAKT,KONTAKT_LOCATION",IBEACON,f7826da6-4fa2-4e98-8024-bc5b71e0893e,59934,49972,f7826da6bc5b71e0893e,79414b58644f,http://kntk.io/eddystone,3,false,350.0,0099,"-74,-43,-40,-36,-31,-28,-24,-18","-115,-84,-81,-77,-72,-69,-65,-59",,,,50,"0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,22,6,23","0,1,2,3,4,5,21,6,22,23",15,"ACCELEROMETER,MOVE_DETECTION,X_AXIS,Y_AXIS,Z_AXIS",16,MOVEMENT,240,160,0,0,0,0,"X_POSITIVE,Y_POSITIVE,Z_POSITIVE",OR,,NORMAL,0.05,true,false,false,0,100,2021-01-15 21:15:00.0
Lu6fgm,DF:0F:ED:D7:7F:2F,,,"IBEACON,KONTAKT",IBEACON,f7826da6-4fa2-4e98-8024-bc5b71e0893e,63335,26455,f7826da64fa24e988024,327a77674763,http://kntk.io/eddystone,3,false,700.0,1234,"-74,-43,-40,-36,-31,-28,-24,-18","-115,-84,-81,-77,-72,-69,-65,-59",,,,50,"0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23",15,"ACCELEROMETER,MOVE_DETECTION,X_AXIS,Y_AXIS,Z_AXIS",16,MOVEMENT,240,160,0,0,0,0,"X_POSITIVE,Y_POSITIVE,Z_POSITIVE",OR,,NORMAL,0.05,true,false,false,0,100,2022-05-12 05:35:00.0
Su6Fj5,E5:A7:B8:15:B4:93,,,"IBEACON,KONTAKT",IBEACON,f7826da6-4fa2-4e98-8024-bc5b71e0893e,36514,12152,f7826da6bc5b71e0893e,677a55575649,http://kntk.io/eddystone,3,false,350.0,0252,"-74,-43,-40,-36,-31,-28,-24,-18","-115,-84,-81,-77,-72,-69,-65,-59",,,,50,"0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23",15,"ACCELEROMETER,MOVE_DETECTION,X_AXIS,Y_AXIS,Z_AXIS",16,MOVEMENT,240,160,0,0,0,0,"X_POSITIVE,Y_POSITIVE,Z_POSITIVE",OR,,NORMAL,0.05,true,false,false,0,100,2020-12-22 08:45:00.0
SuzPw6,C0:44:88:2A:3B:BC,,,"IBEACON,KONTAKT",IBEACON,f7826da6-4fa2-4e98-8024-bc5b71e0893e,16407,60810,f7826da6bc5b71e0893e,414d56366949,http://kntk.io/eddystone,3,false,350.0,0251,"-74,-43,-40,-36,-31,-28,-24,-18","-115,-84,-81,-77,-72,-69,-65,-59",,,,50,"0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23",15,"ACCELEROMETER,MOVE_DETECTION,X_AXIS,Y_AXIS,Z_AXIS",16,MOVEMENT,240,160,0,0,0,0,"X_POSITIVE,Y_POSITIVE,Z_POSITIVE",OR,,NORMAL,0.05,true,false,false,0,100,2020-12-22 08:45:00.0
SuGs7M,F7:7E:0D:C9:BF:18,,,"IBEACON,KONTAKT",IBEACON,f7826da6-4fa2-4e98-8024-bc5b71e0893e,1162,26724,f7826da6bc5b71e0893e,6b5872567063,http://kntk.io/eddystone,3,false,350.0,0248,"-74,-43,-40,-36,-31,-28,-24,-18","-115,-84,-81,-77,-72,-69,-65,-59",,,,50,"0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23",15,"ACCELEROMETER,MOVE_DETECTION,X_AXIS,Y_AXIS,Z_AXIS",16,MOVEMENT,240,160,0,0,0,0,"X_POSITIVE,Y_POSITIVE,Z_POSITIVE",OR,,NORMAL,0.05,true,false,false,0,100,2020-12-22 08:45:00.0
Sug9kp,E1:5C:F4:3A:87:60,,,"IBEACON,KONTAKT",IBEACON,f7826da6-4fa2-4e98-8024-bc5b71e0893e,307,8926,f7826da6bc5b71e0893e,784576785947,http://kntk.io/eddystone,3,false,350.0,0257,"-74,-43,-40,-36,-31,-28,-24,-18","-115,-84,-81,-77,-72,-69,-65,-59",,,,50,"0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23",15,"ACCELEROMETER,MOVE_DETECTION,X_AXIS,Y_AXIS,Z_AXIS",16,MOVEMENT,240,160,0,0,0,0,"X_POSITIVE,Y_POSITIVE,Z_POSITIVE",OR,,NORMAL,0.05,true,false,false,0,100,2020-11-02 14:15:00.0
SuLa5i,FE:0D:61:7D:BB:F0,,,"IBEACON,KONTAKT",IBEACON,f7826da6-4fa2-4e98-8024-bc5b71e0893e,52384,2210,f7826da6bc5b71e0893e,534a3770556d,http://kntk.io/eddystone,3,false,350.0,0238,"-74,-43,-40,-36,-31,-28,-24,-18","-115,-84,-81,-77,-72,-69,-65,-59",,,,50,"0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23","0,1,2,3,4,5,21,6,22,23",15,"ACCELEROMETER,MOVE_DETECTION,X_AXIS,Y_AXIS,Z_AXIS",16,MOVEMENT,240,160,0,0,0,0,"X_POSITIVE,Y_POSITIVE,Z_POSITIVE",OR,,NORMAL,0.05,true,false,false,0,100,2020-12-22 08:45:00.0
